record_id,truck_id,service_date,service_type,cost,downtime_hours,odometer_at_service
MAINT-00036,TRK-005,2025-06-11,DOT inspection,247.03,4.3,423353
MAINT-00037,TRK-006,2026-03-01,oil change,785.36,5.6,719466
MAINT-00038,TRK-006,2025-04-12,brake service,235.64,5.3,655068
MAINT-00039,TRK-006,2025-02-17,transmission service,5557.98,44.5,644588
MAINT-00040,TRK-006,2025-11-29,tire replacement,464.27,5.8,693824
MAINT-00041,TRK-006,2025-07-05,tire replacement,441.25,5.3,666466
MAINT-00042,TRK-006,2026-06-04,alignment,185.37,2.9,733295
MAINT-00043,TRK-006,2026-02-25,coolant system,3440.97,65.5,718229
MAINT-00044,TRK-006,2026-05-29,coolant system,5187.27,54.7,730720
MAINT-00045,TRK-006,2024-09-30,oil change,235.95,5.6,608171
MAINT-00046,TRK-006,2025-08-27,brake service,877.73,2.1,673314
MAINT-00047,TRK-006,2025-03-05,tire replacement,599.62,1.4,642367
MAINT-00048,TRK-006,2024-08-26,transmission service,5747.59,59.1,632611
MAINT-00049,TRK-006,2024-11-07,oil change,727.79,4.4,644288
MAINT-00050,TRK-006,2024-12-24,DOT inspection,271.41,2.9,650887
MAINT-00051,TRK-006,2024-08-10,engine repair,6137.56,94.2,634840
MAINT-00052,TRK-006,2025-12-10,DOT inspection,201.89,6.0,702602
MAINT-00053,TRK-006,2024-10-20,engine repair,6101.44,38.1,638904
MAINT-00054,TRK-006,2025-09-14,coolant system,4637.92,49.3,694240
MAINT-00055,TRK-006,2024-09-30,alignment,563.72,6.5,614573
MAINT-00056,TRK-006,2025-01-31,alignment,511.43,2.1,663262
MAINT-00057,TRK-007,2024-11-24,alignment,792.11,4.5,247234
MAINT-00058,TRK-007,2025-09-17,brake service,499.03,1.8,305849
MAINT-00059,TRK-007,2024-09-22,coolant system,387.26,3.0,245696
MAINT-00060,TRK-007,2025-11-12,brake service,540.71,1.1,318593
MAINT-00061,TRK-007,2025-09-24,alignment,474.44,5.2,308757
MAINT-00062,TRK-007,2025-06-09,transmission service,2853.49,17.8,287538
MAINT-00063,TRK-007,2025-01-09,transmission service,1213.94,14.9,257144
MAINT-00064,TRK-008,2024-11-05,DOT inspection,154.08,5.4,83520
MAINT-00065,TRK-008,2026-04-09,tire replacement,635.73,6.9,179773
MAINT-00066,TRK-008,2026-02-27,DOT inspection,575.79,6.1,170014
MAINT-00067,TRK-008,2026-01-06,oil change,671.07,6.7,156320
MAINT-00068,TRK-008,2024-09-19,engine repair,1839.6,34.4,69003
MAINT-00069,TRK-008,2024-12-21,coolant system,650.27,3.9,114609
MAINT-00070,TRK-008,2024-12-12,coolant system,202.4,1.8,76749
MAINT-00071,TRK-008,2025-04-08,transmission service,2949.71,30.1,110478
MAINT-00072,TRK-008,2024-12-17,oil change,736.49,3.5,75129
MAINT-00073,TRK-009,2025-08-10,oil change,372.22,4.5,216460
MAINT-00074,TRK-009,2025-06-26,oil change,326.67,1.8,199555
MAINT-00075,TRK-009,2025-08-18,alignment,773.58,1.4,224631
MAINT-00076,TRK-009,2026-01-06,engine repair,1644.72,35.4,237103
MAINT-00077,TRK-009,2025-10-31,coolant system,455.72,6.9,227694
MAINT-00078,TRK-009,2025-12-17,DOT inspection,401.7,7.1,235755
MAINT-00079,TRK-009,2026-03-21,alignment,622.98,5.6,252123
MAINT-00080,TRK-009,2026-03-07,tire replacement,789.85,2.2,253434
MAINT-00081,TRK-009,2026-04-13,DOT inspection,170.51,5.9,263180
MAINT-00082,TRK-009,2026-01-16,alignment,214.41,1.1,239379
MAINT-00083,TRK-010,2026-03-26,transmission service,1865.48,35.8,591587
MAINT-00084,TRK-010,2024-08-09,oil change,681.12,3.6,499497
MAINT-00085,TRK-010,2025-11-13,oil change,593.06,4.2,563770
MAINT-00086,TRK-010,2025-03-19,coolant system,861.89,4.7,516700
MAINT-00087,TRK-010,2025-12-03,transmission service,2561.32,20.3,565743
MAINT-00088,TRK-010,2025-09-16,engine repair,1962.59,27.5,563399
MAINT-00089,TRK-010,2025-11-25,alignment,305.82,2.5,579027
MAINT-00090,TRK-010,2025-11-07,oil change,354.31,1.7,563969
MAINT-00091,TRK-010,2026-01-19,DOT inspection,363.32,5.6,582070
MAINT-00092,TRK-010,2024-09-01,oil change,886.34,7.4,482249
