purchase_id,trip_id,truck_id,driver_id,purchase_date,gallons,price_per_gallon,total_cost,location
FUEL-000062,TRP-000062,TRK-008,DRV-006,2024-07-20,43.26,3.809,164.78,"Little Rock, AR"
FUEL-000063,TRP-000063,TRK-006,DRV-014,2024-07-20,53.84,3.824,205.88,"Tulsa, OK"
FUEL-000064,TRP-000064,TRK-004,DRV-002,2024-07-22,22.98,3.799,87.3,"Little Rock, AR"
FUEL-000065,TRP-000065,TRK-009,DRV-006,2024-07-22,11.25,3.943,44.36,"Joplin, MO"
FUEL-000066,TRP-000066,TRK-007,DRV-007,2024-07-22,36.16,3.839,138.82,"Kansas City, MO"
FUEL-000067,TRP-000067,TRK-008,DRV-005,2024-07-23,11.21,3.867,43.35,"Kansas City, MO"
FUEL-000068,TRP-000068,TRK-001,DRV-005,2024-07-23,24.09,3.938,94.87,"Tulsa, OK"
FUEL-000069,TRP-000069,TRK-005,DRV-008,2024-07-23,23.69,3.839,90.95,"Springfield, MO"
FUEL-000070,TRP-000070,TRK-005,DRV-007,2024-07-23,11.32,3.764,42.61,"Springfield, MO"
FUEL-000071,TRP-000071,TRK-002,DRV-003,2024-07-23,38.19,3.883,148.29,"Fort Smith, AR"
FUEL-000072,TRP-000072,TRK-007,DRV-013,2024-07-23,11.8,3.731,44.03,"Little Rock, AR"
FUEL-000073,TRP-000073,TRK-007,DRV-006,2024-07-24,11.18,3.817,42.67,"Springfield, MO"
FUEL-000074,TRP-000074,TRK-004,DRV-013,2024-07-24,23.84,3.882,92.55,"Dallas, TX"
FUEL-000075,TRP-000075,TRK-004,DRV-011,2024-07-24,25.17,3.827,96.33,"Kansas City, MO"
FUEL-000076,TRP-000076,TRK-002,DRV-013,2024-07-24,25.53,3.745,95.61,"Joplin, MO"
FUEL-000077,TRP-000077,TRK-008,DRV-013,2024-07-24,11.0,4.005,44.05,"Little Rock, AR"
FUEL-000078,TRP-000078,TRK-005,DRV-013,2024-07-24,38.77,3.955,153.34,"Tulsa, OK"
FUEL-000079,TRP-000079,TRK-006,DRV-005,2024-07-24,53.22,3.85,204.9,"Kansas City, MO"
FUEL-000080,TRP-000080,TRK-001,DRV-012,2024-07-24,23.58,3.923,92.5,"Tulsa, OK"
FUEL-000081,TRP-000081,TRK-006,DRV-009,2024-07-25,51.56,3.907,201.44,"Fort Smith, AR"
FUEL-000082,TRP-000082,TRK-004,DRV-010,2024-07-25,10.79,3.873,41.79,"Joplin, MO"
FUEL-000083,TRP-000083,TRK-006,DRV-011,2024-07-26,52.28,3.88,202.85,"Tulsa, OK"
FUEL-000084,TRP-000084,TRK-002,DRV-001,2024-07-26,24.94,3.942,98.31,"Oklahoma City, OK"
FUEL-000085,TRP-000085,TRK-004,DRV-008,2024-07-27,25.46,3.956,100.72,"Little Rock, AR"
FUEL-000086,TRP-000086,TRK-003,DRV-010,2024-07-27,26.16,3.99,104.38,"Dallas, TX"
FUEL-000087,TRP-000087,TRK-005,DRV-001,2024-07-27,38.51,3.91,150.57,"Kansas City, MO"
FUEL-000088,TRP-000088,TRK-002,DRV-006,2024-07-27,23.76,3.872,92.0,"Springfield, MO"
FUEL-000089,TRP-000089,TRK-002,DRV-003,2024-07-27,25.13,4.007,100.7,"Kansas City, MO"
FUEL-000090,TRP-000090,TRK-002,DRV-003,2024-07-27,38.0,4.011,152.42,"Tulsa, OK"
FUEL-000091,TRP-000091,TRK-010,DRV-011,2024-07-29,23.98,3.883,93.11,"Tulsa, OK"
FUEL-000092,TRP-000092,TRK-006,DRV-006,2024-07-29,54.76,4.005,219.31,"Little Rock, AR"
FUEL-000093,TRP-000093,TRK-007,DRV-003,2024-07-29,23.85,3.965,94.57,"Joplin, MO"
FUEL-000094,TRP-000094,TRK-007,DRV-005,2024-07-29,23.29,3.736,87.01,"Fort Smith, AR"
FUEL-000095,TRP-000095,TRK-010,DRV-003,2024-07-30,11.25,3.853,43.35,"Tulsa, OK"
FUEL-000096,TRP-000096,TRK-006,DRV-003,2024-07-30,53.38,4.002,213.63,"Fort Smith, AR"
FUEL-000097,TRP-000097,TRK-007,DRV-008,2024-07-30,41.26,3.828,157.94,"Dallas, TX"
FUEL-000098,TRP-000098,TRK-009,DRV-010,2024-07-31,41.44,3.887,161.08,"Kansas City, MO"
FUEL-000099,TRP-000099,TRK-009,DRV-009,2024-07-31,10.91,3.768,41.11,"Little Rock, AR"
FUEL-000100,TRP-000100,TRK-010,DRV-010,2024-07-31,22.73,4.009,91.12,"Oklahoma City, OK"
FUEL-000101,TRP-000101,TRK-002,DRV-001,2024-07-31,24.69,3.903,96.37,"Fort Smith, AR"
FUEL-000102,TRP-000102,TRK-010,DRV-006,2024-08-01,10.85,3.903,42.35,"Oklahoma City, OK"
FUEL-000103,TRP-000103,TRK-005,DRV-008,2024-08-01,35.72,3.883,138.7,"Dallas, TX"
FUEL-000104,TRP-000104,TRK-002,DRV-014,2024-08-01,36.12,3.896,140.72,"Oklahoma City, OK"
FUEL-000105,TRP-000105,TRK-005,DRV-011,2024-08-01,12.25,3.984,48.8,"Fort Smith, AR"
FUEL-000106,TRP-000106,TRK-010,DRV-003,2024-08-01,23.1,4.001,92.42,"Little Rock, AR"
FUEL-000107,TRP-000107,TRK-005,DRV-003,2024-08-02,11.4,3.858,43.98,"Little Rock, AR"
FUEL-000108,TRP-000108,TRK-001,DRV-011,2024-08-02,34.96,3.836,134.11,"Fort Smith, AR"
FUEL-000109,TRP-000109,TRK-002,DRV-005,2024-08-02,36.71,3.995,146.66,"Little Rock, AR"
FUEL-000110,TRP-000110,TRK-006,DRV-013,2024-08-02,51.21,3.744,191.73,"Springfield, MO"
FUEL-000111,TRP-000111,TRK-002,DRV-004,2024-08-02,11.27,3.875,43.67,"Fort Smith, AR"
FUEL-000112,TRP-000112,TRK-006,DRV-001,2024-08-03,57.71,3.762,217.11,"Dallas, TX"
FUEL-000113,TRP-000113,TRK-007,DRV-003,2024-08-03,41.39,4.015,166.18,"Joplin, MO"
FUEL-000114,TRP-000114,TRK-003,DRV-012,2024-08-03,12.17,3.988,48.53,"Oklahoma City, OK"
FUEL-000115,TRP-000115,TRK-005,DRV-009,2024-08-03,10.34,3.966,41.01,"Kansas City, MO"
FUEL-000116,TRP-000116,TRK-007,DRV-012,2024-08-04,11.16,4.004,44.68,"Dallas, TX"
FUEL-000117,TRP-000117,TRK-006,DRV-014,2024-08-04,50.59,3.846,194.57,"Dallas, TX"
FUEL-000118,TRP-000118,TRK-002,DRV-005,2024-08-04,37.61,3.898,146.6,"Oklahoma City, OK"
FUEL-000119,TRP-000119,TRK-002,DRV-013,2024-08-04,40.1,3.888,155.91,"Little Rock, AR"
FUEL-000120,TRP-000120,TRK-008,DRV-006,2024-08-04,40.28,3.766,151.69,"Little Rock, AR"
FUEL-000121,TRP-000121,TRK-007,DRV-004,2024-08-04,10.84,4.012,43.49,"Fort Smith, AR"
FUEL-000122,TRP-000122,TRK-001,DRV-014,2024-08-04,23.7,3.934,93.24,"Joplin, MO"
FUEL-000123,TRP-000123,TRK-004,DRV-001,2024-08-04,40.04,3.851,154.19,"Tulsa, OK"
FUEL-000124,TRP-000124,TRK-005,DRV-004,2024-08-05,41.41,3.98,164.81,"Joplin, MO"
FUEL-000125,TRP-000125,TRK-006,DRV-011,2024-08-05,53.95,3.786,204.25,"Fort Smith, AR"
FUEL-000126,TRP-000126,TRK-002,DRV-014,2024-08-05,11.43,3.973,45.41,"Dallas, TX"
FUEL-000127,TRP-000127,TRK-001,DRV-004,2024-08-05,25.6,3.731,95.51,"Little Rock, AR"
FUEL-000128,TRP-000128,TRK-006,DRV-012,2024-08-05,53.6,3.839,205.77,"Kansas City, MO"
FUEL-000129,TRP-000129,TRK-006,DRV-009,2024-08-06,56.11,3.959,222.14,"Dallas, TX"
FUEL-000130,TRP-000130,TRK-003,DRV-003,2024-08-06,10.94,3.799,41.56,"Oklahoma City, OK"
FUEL-000131,TRP-000131,TRK-004,DRV-014,2024-08-06,10.69,3.981,42.56,"Tulsa, OK"
FUEL-000132,TRP-000132,TRK-010,DRV-013,2024-08-06,24.58,3.901,95.89,"Tulsa, OK"
FUEL-000133,TRP-000133,TRK-001,DRV-014,2024-08-06,25.24,3.921,98.97,"Dallas, TX"
FUEL-000134,TRP-000134,TRK-006,DRV-002,2024-08-06,53.82,3.892,209.47,"Dallas, TX"
FUEL-000135,TRP-000135,TRK-006,DRV-010,2024-08-06,55.88,3.93,219.61,"Tulsa, OK"
FUEL-000136,TRP-000136,TRK-006,DRV-008,2024-08-07,55.56,3.737,207.63,"Springfield, MO"
FUEL-000137,TRP-000137,TRK-004,DRV-007,2024-08-07,41.29,3.854,159.13,"Joplin, MO"
FUEL-000138,TRP-000138,TRK-006,DRV-010,2024-08-07,50.11,3.803,190.57,"Fort Smith, AR"
FUEL-000139,TRP-000139,TRK-007,DRV-014,2024-08-07,37.16,3.759,139.68,"Little Rock, AR"
FUEL-000140,TRP-000140,TRK-006,DRV-011,2024-08-07,57.02,3.977,226.77,"Joplin, MO"
FUEL-000141,TRP-000141,TRK-006,DRV-011,2024-08-07,52.16,3.963,206.71,"Oklahoma City, OK"
FUEL-000142,TRP-000142,TRK-010,DRV-009,2024-08-07,43.92,3.755,164.92,"Oklahoma City, OK"
FUEL-000143,TRP-000143,TRK-009,DRV-004,2024-08-08,38.67,3.774,145.94,"Tulsa, OK"
FUEL-000144,TRP-000144,TRK-007,DRV-014,2024-08-08,10.46,4.0,41.84,"Little Rock, AR"
FUEL-000145,TRP-000145,TRK-005,DRV-010,2024-08-09,24.16,3.956,95.58,"Dallas, TX"
FUEL-000146,TRP-000146,TRK-006,DRV-006,2024-08-09,52.75,3.874,204.35,"Kansas City, MO"
FUEL-000147,TRP-000147,TRK-001,DRV-011,2024-08-09,11.36,3.726,42.33,"Dallas, TX"
FUEL-000148,TRP-000148,TRK-004,DRV-011,2024-08-09,38.39,3.922,150.57,"Springfield, MO"
FUEL-000149,TRP-000149,TRK-006,DRV-014,2024-08-09,55.58,3.756,208.76,"Kansas City, MO"
FUEL-000150,TRP-000150,TRK-004,DRV-004,2024-08-09,26.06,3.751,97.75,"Springfield, MO"
FUEL-000151,TRP-000151,TRK-003,DRV-002,2024-08-09,10.78,3.733,40.24,"Little Rock, AR"
FUEL-000152,TRP-000152,TRK-006,DRV-009,2024-08-10,57.92,3.978,230.41,"Dallas, TX"
FUEL-000153,TRP-000153,TRK-003,DRV-001,2024-08-10,10.65,3.956,42.13,"Dallas, TX"
FUEL-000154,TRP-000154,TRK-010,DRV-003,2024-08-10,24.93,3.746,93.39,"Dallas, TX"
FUEL-000155,TRP-000155,TRK-007,DRV-011,2024-08-10,11.99,4.012,48.1,"Little Rock, AR"
FUEL-000156,TRP-000156,TRK-010,DRV-011,2024-08-11,10.91,3.837,41.86,"Little Rock, AR"
FUEL-000157,TRP-000157,TRK-001,DRV-001,2024-08-11,11.3,3.893,43.99,"Dallas, TX"
FUEL-000158,TRP-000158,TRK-003,DRV-009,2024-08-11,10.66,3.98,42.43,"Kansas City, MO"
FUEL-000159,TRP-000159,TRK-007,DRV-008,2024-08-12,10.27,3.801,39.04,"Joplin, MO"
FUEL-000160,TRP-000160,TRK-008,DRV-005,2024-08-12,37.48,4.026,150.89,"Little Rock, AR"
FUEL-000161,TRP-000161,TRK-001,DRV-003,2024-08-12,25.08,3.767,94.48,"Little Rock, AR"
FUEL-000162,TRP-000162,TRK-002,DRV-013,2024-08-12,26.47,3.764,99.63,"Kansas City, MO"
FUEL-000163,TRP-000163,TRK-006,DRV-012,2024-08-12,55.63,3.834,213.29,"Joplin, MO"
FUEL-000164,TRP-000164,TRK-004,DRV-001,2024-08-13,37.9,3.917,148.45,"Springfield, MO"
FUEL-000165,TRP-000165,TRK-004,DRV-014,2024-08-13,41.92,3.858,161.73,"Dallas, TX"
FUEL-000166,TRP-000166,TRK-002,DRV-010,2024-08-13,25.65,3.746,96.08,"Little Rock, AR"
FUEL-000167,TRP-000167,TRK-006,DRV-008,2024-08-13,32.14,3.907,125.57,"Joplin, MO"
FUEL-000168,TRP-000168,TRK-005,DRV-013,2024-08-14,42.46,3.835,162.83,"Tulsa, OK"
FUEL-000169,TRP-000169,TRK-006,DRV-004,2024-08-14,50.67,3.756,190.32,"Oklahoma City, OK"
FUEL-000170,TRP-000170,TRK-009,DRV-006,2024-08-14,11.48,3.887,44.62,"Kansas City, MO"
FUEL-000171,TRP-000171,TRK-002,DRV-007,2024-08-14,23.16,3.937,91.18,"Kansas City, MO"
FUEL-000172,TRP-000172,TRK-010,DRV-007,2024-08-14,23.92,3.971,94.99,"Oklahoma City, OK"
FUEL-000173,TRP-000173,TRK-007,DRV-002,2024-08-15,24.24,3.792,91.92,"Springfield, MO"
FUEL-000174,TRP-000174,TRK-006,DRV-002,2024-08-15,52.77,3.865,203.96,"Joplin, MO"
FUEL-000175,TRP-000175,TRK-008,DRV-009,2024-08-15,36.72,3.941,144.71,"Dallas, TX"
FUEL-000176,TRP-000176,TRK-010,DRV-009,2024-08-15,11.36,3.981,45.22,"Tulsa, OK"
FUEL-000177,TRP-000177,TRK-007,DRV-004,2024-08-15,39.44,3.764,148.45,"Dallas, TX"
FUEL-000178,TRP-000178,TRK-005,DRV-005,2024-08-15,11.51,3.93,45.23,"Springfield, MO"
FUEL-000179,TRP-000179,TRK-006,DRV-014,2024-08-15,54.43,3.986,216.96,"Joplin, MO"
FUEL-000180,TRP-000180,TRK-002,DRV-007,2024-08-16,10.55,3.808,40.17,"Springfield, MO"
FUEL-000181,TRP-000181,TRK-001,DRV-012,2024-08-16,40.19,3.907,157.02,"Springfield, MO"
FUEL-000182,TRP-000182,TRK-007,DRV-001,2024-08-16,11.08,3.849,42.65,"Kansas City, MO"
FUEL-000183,TRP-000183,TRK-006,DRV-014,2024-08-16,52.26,3.953,206.58,"Kansas City, MO"
FUEL-000184,TRP-000184,TRK-006,DRV-009,2024-08-16,57.25,3.887,222.53,"Joplin, MO"
FUEL-000185,TRP-000185,TRK-006,DRV-006,2024-08-17,54.48,3.843,209.37,"Fort Smith, AR"
FUEL-000186,TRP-000186,TRK-009,DRV-002,2024-08-17,11.17,3.988,44.55,"Oklahoma City, OK"
FUEL-000187,TRP-000187,TRK-006,DRV-001,2024-08-17,51.92,3.858,200.31,"Dallas, TX"
FUEL-000188,TRP-000188,TRK-009,DRV-006,2024-08-17,24.2,3.832,92.73,"Little Rock, AR"
FUEL-000189,TRP-000189,TRK-010,DRV-013,2024-08-17,37.5,3.738,140.18,"Fort Smith, AR"
FUEL-000190,TRP-000190,TRK-005,DRV-013,2024-08-17,22.84,3.928,89.72,"Tulsa, OK"
FUEL-000191,TRP-000191,TRK-003,DRV-014,2024-08-17,23.11,3.986,92.12,"Fort Smith, AR"
FUEL-000192,TRP-000192,TRK-002,DRV-004,2024-08-19,10.21,3.966,40.49,"Fort Smith, AR"
FUEL-000193,TRP-000193,TRK-008,DRV-010,2024-08-19,24.87,3.853,95.82,"Fort Smith, AR"
FUEL-000194,TRP-000194,TRK-003,DRV-012,2024-08-19,11.71,3.752,43.94,"Joplin, MO"
FUEL-000195,TRP-000195,TRK-004,DRV-008,2024-08-19,40.18,3.772,151.56,"Joplin, MO"
FUEL-000196,TRP-000196,TRK-001,DRV-014,2024-08-19,10.49,3.875,40.65,"Tulsa, OK"
FUEL-000197,TRP-000197,TRK-003,DRV-010,2024-08-19,25.06,3.766,94.38,"Springfield, MO"
FUEL-000198,TRP-000198,TRK-010,DRV-012,2024-08-19,25.77,3.983,102.64,"Fort Smith, AR"
FUEL-000199,TRP-000199,TRK-006,DRV-001,2024-08-20,54.32,3.827,207.88,"Springfield, MO"
FUEL-000200,TRP-000200,TRK-006,DRV-012,2024-08-20,50.37,3.814,192.11,"Dallas, TX"
FUEL-000201,TRP-000201,TRK-009,DRV-003,2024-08-20,36.72,3.916,143.8,"Kansas City, MO"
FUEL-000202,TRP-000202,TRK-006,DRV-012,2024-08-20,54.53,4.02,219.21,"Kansas City, MO"
FUEL-000203,TRP-000203,TRK-007,DRV-003,2024-08-20,24.72,3.885,96.04,"Fort Smith, AR"
FUEL-000204,TRP-000204,TRK-007,DRV-007,2024-08-20,42.02,3.882,163.12,"Kansas City, MO"
FUEL-000205,TRP-000205,TRK-006,DRV-013,2024-08-21,53.09,3.935,208.91,"Kansas City, MO"
FUEL-000206,TRP-000206,TRK-006,DRV-004,2024-08-21,52.84,3.944,208.4,"Joplin, MO"
FUEL-000207,TRP-000207,TRK-010,DRV-007,2024-08-21,22.86,3.748,85.68,"Springfield, MO"
FUEL-000208,TRP-000208,TRK-007,DRV-009,2024-08-21,23.34,3.765,87.88,"Kansas City, MO"
FUEL-000209,TRP-000209,TRK-006,DRV-003,2024-08-21,51.75,3.992,206.59,"Oklahoma City, OK"
FUEL-000210,TRP-000210,TRK-008,DRV-013,2024-08-21,24.31,4.002,97.29,"Little Rock, AR"
FUEL-000211,TRP-000211,TRK-008,DRV-001,2024-08-22,11.1,3.795,42.12,"Joplin, MO"
FUEL-000212,TRP-000212,TRK-008,DRV-001,2024-08-22,25.51,3.957,100.94,"Oklahoma City, OK"
FUEL-000213,TRP-000213,TRK-006,DRV-003,2024-08-22,57.87,3.863,223.55,"Little Rock, AR"
FUEL-000214,TRP-000214,TRK-006,DRV-011,2024-08-22,52.83,3.969,209.68,"Kansas City, MO"
FUEL-000215,TRP-000215,TRK-004,DRV-001,2024-08-22,25.38,3.877,98.4,"Joplin, MO"
FUEL-000216,TRP-000216,TRK-002,DRV-001,2024-08-23,11.54,3.888,44.87,"Fort Smith, AR"
FUEL-000217,TRP-000217,TRK-010,DRV-001,2024-08-23,25.82,3.986,102.92,"Oklahoma City, OK"
FUEL-000218,TRP-000218,TRK-003,DRV-003,2024-08-23,40.36,3.851,155.43,"Dallas, TX"
FUEL-000219,TRP-000219,TRK-007,DRV-001,2024-08-23,41.81,3.917,163.77,"Little Rock, AR"
FUEL-000220,TRP-000220,TRK-009,DRV-001,2024-08-23,12.09,3.954,47.8,"Kansas City, MO"
FUEL-000221,TRP-000221,TRK-005,DRV-001,2024-08-24,10.58,3.991,42.22,"Tulsa, OK"
FUEL-000222,TRP-000222,TRK-001,DRV-001,2024-08-24,25.68,3.757,96.48,"Oklahoma City, OK"
FUEL-000223,TRP-000223,TRK-002,DRV-001,2024-08-24,39.73,3.776,150.02,"Kansas City, MO"
FUEL-000224,TRP-000224,TRK-004,DRV-009,2024-08-24,37.89,3.99,151.18,"Joplin, MO"
FUEL-000225,TRP-000225,TRK-005,DRV-001,2024-08-24,11.52,3.886,44.77,"Springfield, MO"
FUEL-000226,TRP-000226,TRK-007,DRV-001,2024-08-25,24.86,3.755,93.35,"Kansas City, MO"
FUEL-000227,TRP-000227,TRK-001,DRV-001,2024-08-25,22.22,3.91,86.88,"Tulsa, OK"
FUEL-000228,TRP-000228,TRK-009,DRV-001,2024-08-25,10.65,3.805,40.52,"Little Rock, AR"
FUEL-000229,TRP-000229,TRK-007,DRV-001,2024-08-25,24.06,3.785,91.07,"Dallas, TX"
FUEL-000230,TRP-000230,TRK-005,DRV-001,2024-08-25,24.34,3.821,93.0,"Springfield, MO"
FUEL-000231,TRP-000231,TRK-006,DRV-003,2024-08-26,53.76,3.916,210.52,"Springfield, MO"
FUEL-000232,TRP-000232,TRK-007,DRV-001,2024-08-26,10.58,3.969,41.99,"Dallas, TX"
FUEL-000233,TRP-000233,TRK-007,DRV-001,2024-08-26,11.51,4.0,46.04,"Dallas, TX"
FUEL-000234,TRP-000234,TRK-003,DRV-001,2024-08-26,10.99,3.906,42.93,"Little Rock, AR"
FUEL-000235,TRP-000235,TRK-010,DRV-010,2024-08-26,38.38,3.961,152.02,"Fort Smith, AR"
FUEL-000236,TRP-000236,TRK-006,DRV-014,2024-08-26,49.89,3.761,187.64,"Joplin, MO"
FUEL-000237,TRP-000237,TRK-006,DRV-011,2024-08-26,54.72,3.947,215.98,"Tulsa, OK"
FUEL-000238,TRP-000238,TRK-007,DRV-001,2024-08-26,26.59,4.011,106.65,"Kansas City, MO"
FUEL-000239,TRP-000239,TRK-004,DRV-001,2024-08-27,11.15,4.001,44.61,"Little Rock, AR"
FUEL-000240,TRP-000240,TRK-005,DRV-001,2024-08-27,23.34,3.861,90.12,"Kansas City, MO"
FUEL-000241,TRP-000241,TRK-009,DRV-001,2024-08-27,25.83,3.793,97.97,"Oklahoma City, OK"
FUEL-000242,TRP-000242,TRK-008,DRV-001,2024-08-27,24.38,3.9,95.08,"Joplin, MO"
FUEL-000243,TRP-000243,TRK-003,DRV-001,2024-08-28,11.99,3.748,44.94,"Kansas City, MO"
FUEL-000244,TRP-000244,TRK-007,DRV-001,2024-08-28,10.42,4.026,41.95,"Kansas City, MO"
