event_id,load_id,trip_id,facility_type,scheduled_time,actual_time,detention_minutes,on_time
EVT-000115,LD-000115,TRP-000115,delivery,2024-08-03 05:00:00.386788,2024-08-03 05:08:00.386788,3,True
EVT-000116,LD-000116,TRP-000116,delivery,2024-08-04 09:00:00.845755,2024-08-04 09:17:00.845755,6,True
EVT-000117,LD-000117,TRP-000117,delivery,2024-08-04 11:00:00.865316,2024-08-04 11:10:00.865316,8,True
EVT-000118,LD-000118,TRP-000118,delivery,2024-08-04 10:00:00.482543,2024-08-04 10:20:00.482543,10,True
EVT-000119,LD-000119,TRP-000119,delivery,2024-08-04 14:00:00.199937,2024-08-04 14:12:00.199937,6,True
EVT-000120,LD-000120,TRP-000120,delivery,2024-08-04 12:00:00.071985,2024-08-04 12:27:00.071985,15,False
EVT-000121,LD-000121,TRP-000121,delivery,2024-08-04 10:00:00.891622,2024-08-04 10:09:00.891622,3,True
EVT-000122,LD-000122,TRP-000122,delivery,2024-08-04 10:00:00.275171,2024-08-04 10:13:00.275171,12,True
EVT-000123,LD-000123,TRP-000123,delivery,2024-08-04 11:00:00.284936,2024-08-04 11:11:00.284936,12,True
EVT-000124,LD-000124,TRP-000124,delivery,2024-08-05 14:00:00.605890,2024-08-05 14:09:00.605890,12,True
EVT-000125,LD-000125,TRP-000125,delivery,2024-08-05 10:00:00.116717,2024-08-05 10:12:00.116717,9,True
EVT-000126,LD-000126,TRP-000126,delivery,2024-08-05 05:00:00.390927,2024-08-05 05:34:00.390927,22,True
EVT-000127,LD-000127,TRP-000127,delivery,2024-08-05 12:00:00.436651,2024-08-05 12:14:00.436651,12,True
EVT-000128,LD-000128,TRP-000128,delivery,2024-08-05 12:00:00.677741,2024-08-05 12:03:00.677741,5,True
EVT-000129,LD-000129,TRP-000129,delivery,2024-08-06 09:00:00.537391,2024-08-06 09:13:00.537391,16,True
EVT-000130,LD-000130,TRP-000130,delivery,2024-08-06 08:00:00.754351,2024-08-06 08:26:00.754351,11,True
EVT-000131,LD-000131,TRP-000131,delivery,2024-08-06 08:00:00.670530,2024-08-06 08:09:00.670530,8,True
EVT-000132,LD-000132,TRP-000132,delivery,2024-08-06 10:00:00.128907,2024-08-06 10:29:00.128907,17,True
EVT-000133,LD-000133,TRP-000133,delivery,2024-08-06 10:00:00.392199,2024-08-06 10:25:00.392199,11,True
EVT-000134,LD-000134,TRP-000134,delivery,2024-08-06 14:00:00.109625,2024-08-06 14:14:00.109625,9,False
EVT-000135,LD-000135,TRP-000135,delivery,2024-08-06 11:00:00.988687,2024-08-06 11:08:00.988687,10,True
EVT-000136,LD-000136,TRP-000136,delivery,2024-08-07 15:00:00.614487,2024-08-07 15:44:00.614487,49,False
EVT-000137,LD-000137,TRP-000137,delivery,2024-08-07 13:00:00.857704,2024-08-07 13:19:00.857704,10,True
EVT-000138,LD-000138,TRP-000138,delivery,2024-08-07 10:00:00.311652,2024-08-07 10:11:00.311652,0,False
EVT-000139,LD-000139,TRP-000139,delivery,2024-08-07 14:00:00.923886,2024-08-07 14:13:00.923886,14,True
EVT-000140,LD-000140,TRP-000140,delivery,2024-08-07 11:00:00.440560,2024-08-07 11:20:00.440560,14,False
EVT-000141,LD-000141,TRP-000141,delivery,2024-08-07 13:00:00.556206,2024-08-07 13:21:00.556206,9,True
EVT-000142,LD-000142,TRP-000142,delivery,2024-08-07 14:00:00.201078,2024-08-07 14:18:00.201078,14,True
EVT-000143,LD-000143,TRP-000143,delivery,2024-08-08 11:00:00.615188,2024-08-08 11:08:00.615188,12,True
EVT-000144,LD-000144,TRP-000144,delivery,2024-08-08 05:00:00.855103,2024-08-08 05:17:00.855103,2,True
EVT-000145,LD-000145,TRP-000145,delivery,2024-08-09 10:00:00.810637,2024-08-09 10:12:00.810637,6,True
EVT-000146,LD-000146,TRP-000146,delivery,2024-08-09 12:00:00.732982,2024-08-09 12:14:00.732982,10,True
EVT-000147,LD-000147,TRP-000147,delivery,2024-08-09 06:00:00.180325,2024-08-09 06:12:00.180325,13,True
EVT-000148,LD-000148,TRP-000148,delivery,2024-08-09 11:00:00.784109,2024-08-09 11:13:00.784109,18,True
EVT-000149,LD-000149,TRP-000149,delivery,2024-08-09 09:00:00.121175,2024-08-09 09:49:00.121175,42,False
EVT-000150,LD-000150,TRP-000150,delivery,2024-08-09 10:00:00.608856,2024-08-09 10:13:00.608856,14,True
EVT-000151,LD-000151,TRP-000151,delivery,2024-08-09 11:00:00.756004,2024-08-09 11:13:00.756004,12,True
EVT-000152,LD-000152,TRP-000152,delivery,2024-08-10 12:00:00.308341,2024-08-10 13:07:00.308341,61,False
EVT-000153,LD-000153,TRP-000153,delivery,2024-08-10 09:00:00.302341,2024-08-10 09:22:00.302341,10,True
EVT-000154,LD-000154,TRP-000154,delivery,2024-08-10 12:00:00.920214,2024-08-10 12:11:00.920214,9,True
EVT-000155,LD-000155,TRP-000155,delivery,2024-08-10 10:00:00.778414,2024-08-10 10:53:00.778414,50,False
EVT-000156,LD-000156,TRP-000156,delivery,2024-08-11 07:00:00.389722,2024-08-11 07:50:00.389722,52,False
EVT-000157,LD-000157,TRP-000157,delivery,2024-08-11 06:00:00.655563,2024-08-11 06:16:00.655563,11,True
EVT-000158,LD-000158,TRP-000158,delivery,2024-08-11 06:00:00.601627,2024-08-11 06:52:00.601627,55,False
EVT-000159,LD-000159,TRP-000159,delivery,2024-08-12 07:00:00.852564,2024-08-12 08:02:00.852564,50,False
EVT-000160,LD-000160,TRP-000160,delivery,2024-08-12 10:00:00.006219,2024-08-12 10:07:00.006219,10,True
EVT-000161,LD-000161,TRP-000161,delivery,2024-08-12 12:00:00.506969,2024-08-12 12:17:00.506969,10,True
EVT-000162,LD-000162,TRP-000162,delivery,2024-08-12 07:00:00.669382,2024-08-12 07:16:00.669382,15,True
EVT-000163,LD-000163,TRP-000163,delivery,2024-08-12 11:00:00.759993,2024-08-12 11:09:00.759993,9,True
EVT-000164,LD-000164,TRP-000164,delivery,2024-08-13 10:00:00.941649,2024-08-13 10:20:00.941649,7,True
EVT-000165,LD-000165,TRP-000165,delivery,2024-08-13 10:00:00.117207,2024-08-13 10:46:00.117207,38,False
EVT-000166,LD-000166,TRP-000166,delivery,2024-08-13 09:00:00.968432,2024-08-13 09:18:00.968432,11,True
EVT-000167,LD-000167,TRP-000167,delivery,2024-08-13 09:00:00.284629,2024-08-13 09:13:00.284629,17,True
EVT-000168,LD-000168,TRP-000168,delivery,2024-08-14 10:00:00.906481,2024-08-14 10:05:00.906481,5,True
EVT-000169,LD-000169,TRP-000169,delivery,2024-08-14 12:00:00.151403,2024-08-14 12:20:00.151403,10,True
EVT-000170,LD-000170,TRP-000170,delivery,2024-08-14 11:00:00.244600,2024-08-14 11:07:00.244600,10,True
EVT-000171,LD-000171,TRP-000171,delivery,2024-08-14 12:00:00.338758,2024-08-14 12:12:00.338758,12,True
EVT-000172,LD-000172,TRP-000172,delivery,2024-08-14 11:00:00.961837,2024-08-14 11:32:00.961837,17,True
EVT-000173,LD-000173,TRP-000173,delivery,2024-08-15 13:00:00.520234,2024-08-15 13:00:00.520234,5,True
EVT-000174,LD-000174,TRP-000174,delivery,2024-08-15 13:00:00.287698,2024-08-15 13:22:00.287698,18,True
EVT-000175,LD-000175,TRP-000175,delivery,2024-08-15 11:00:00.508803,2024-08-15 11:21:00.508803,13,True
EVT-000176,LD-000176,TRP-000176,delivery,2024-08-15 06:00:00.110140,2024-08-15 06:41:00.110140,45,False
EVT-000177,LD-000177,TRP-000177,delivery,2024-08-15 13:00:00.992103,2024-08-15 13:03:00.992103,0,True
EVT-000178,LD-000178,TRP-000178,delivery,2024-08-15 08:00:00.275398,2024-08-15 08:18:00.275398,12,True
EVT-000179,LD-000179,TRP-000179,delivery,2024-08-15 11:00:00.141022,2024-08-15 11:13:00.141022,0,True
EVT-000180,LD-000180,TRP-000180,delivery,2024-08-16 07:00:00.789021,2024-08-16 07:44:00.789021,47,False
EVT-000181,LD-000181,TRP-000181,delivery,2024-08-16 12:00:00.188148,2024-08-16 12:14:00.188148,16,True
EVT-000182,LD-000182,TRP-000182,delivery,2024-08-16 10:00:00.666136,2024-08-16 10:10:00.666136,8,True
EVT-000183,LD-000183,TRP-000183,delivery,2024-08-16 10:00:00.842554,2024-08-16 10:25:00.842554,10,True
EVT-000184,LD-000184,TRP-000184,delivery,2024-08-16 15:00:00.863152,2024-08-16 15:16:00.863152,16,True
EVT-000185,LD-000185,TRP-000185,delivery,2024-08-17 15:00:00.708489,2024-08-17 16:09:00.708489,56,False
EVT-000186,LD-000186,TRP-000186,delivery,2024-08-17 07:00:00.231867,2024-08-17 07:21:00.231867,20,True
EVT-000187,LD-000187,TRP-000187,delivery,2024-08-17 11:00:00.819727,2024-08-17 11:15:00.819727,14,True
EVT-000188,LD-000188,TRP-000188,delivery,2024-08-17 09:00:00.927463,2024-08-17 09:21:00.927463,6,True
EVT-000189,LD-000189,TRP-000189,delivery,2024-08-17 13:00:00.048239,2024-08-17 13:22:00.048239,14,True
EVT-000190,LD-000190,TRP-000190,delivery,2024-08-17 09:00:00.053726,2024-08-17 09:14:00.053726,10,True
EVT-000191,LD-000191,TRP-000191,delivery,2024-08-17 09:00:00.598546,2024-08-17 09:30:00.598546,17,False
EVT-000192,LD-000192,TRP-000192,delivery,2024-08-19 08:00:00.112431,2024-08-19 08:18:00.112431,13,True
EVT-000193,LD-000193,TRP-000193,delivery,2024-08-19 07:00:00.420125,2024-08-19 07:10:00.420125,9,True
EVT-000194,LD-000194,TRP-000194,delivery,2024-08-19 05:00:00.505304,2024-08-19 05:53:00.505304,49,False
EVT-000195,LD-000195,TRP-000195,delivery,2024-08-19 12:00:00.462643,2024-08-19 12:14:00.462643,8,True
EVT-000196,LD-000196,TRP-000196,delivery,2024-08-19 08:00:00.811264,2024-08-19 08:45:00.811264,44,False
EVT-000197,LD-000197,TRP-000197,delivery,2024-08-19 07:00:00.274523,2024-08-19 07:07:00.274523,4,True
EVT-000198,LD-000198,TRP-000198,delivery,2024-08-19 07:00:00.746793,2024-08-19 07:10:00.746793,11,False
EVT-000199,LD-000199,TRP-000199,delivery,2024-08-20 10:00:00.090662,2024-08-20 10:57:00.090662,61,False
EVT-000200,LD-000200,TRP-000200,delivery,2024-08-20 10:00:00.524871,2024-08-20 11:07:00.524871,57,False
EVT-000201,LD-000201,TRP-000201,delivery,2024-08-20 13:00:00.582264,2024-08-20 13:02:00.582264,3,True
EVT-000202,LD-000202,TRP-000202,delivery,2024-08-20 14:00:00.876535,2024-08-20 14:15:00.876535,4,True
EVT-000203,LD-000203,TRP-000203,delivery,2024-08-20 11:00:00.323170,2024-08-20 11:14:00.323170,17,True
EVT-000204,LD-000204,TRP-000204,delivery,2024-08-20 13:00:00.458066,2024-08-20 13:00:00.458066,2,False
EVT-000205,LD-000205,TRP-000205,delivery,2024-08-21 12:00:00.953610,2024-08-21 12:47:00.953610,45,False
EVT-000206,LD-000206,TRP-000206,delivery,2024-08-21 15:00:00.285662,2024-08-21 15:12:00.285662,12,True
EVT-000207,LD-000207,TRP-000207,delivery,2024-08-21 09:00:00.277122,2024-08-21 09:24:00.277122,11,False
EVT-000208,LD-000208,TRP-000208,delivery,2024-08-21 13:00:00.176621,2024-08-21 13:16:00.176621,5,True
EVT-000209,LD-000209,TRP-000209,delivery,2024-08-21 14:00:00.211970,2024-08-21 14:17:00.211970,13,True
EVT-000210,LD-000210,TRP-000210,delivery,2024-08-21 11:00:00.089859,2024-08-21 11:25:00.089859,17,True
EVT-000211,LD-000211,TRP-000211,delivery,2024-08-22 07:00:00.062444,2024-08-22 07:55:00.062444,41,False
EVT-000212,LD-000212,TRP-000212,delivery,2024-08-22 12:00:00.499416,2024-08-22 12:29:00.499416,15,True
EVT-000213,LD-000213,TRP-000213,delivery,2024-08-22 11:00:00.001660,2024-08-22 11:18:00.001660,15,True
EVT-000214,LD-000214,TRP-000214,delivery,2024-08-22 13:00:00.271136,2024-08-22 13:26:00.271136,15,True
EVT-000215,LD-000215,TRP-000215,delivery,2024-08-22 09:00:00.298555,2024-08-22 09:16:00.298555,14,False
EVT-000216,LD-000216,TRP-000216,delivery,2024-08-23 10:00:00.380653,2024-08-23 10:10:00.380653,14,True
EVT-000217,LD-000217,TRP-000217,delivery,2024-08-23 13:00:00.457341,2024-08-23 13:11:00.457341,3,True
EVT-000218,LD-000218,TRP-000218,delivery,2024-08-23 14:00:00.914563,2024-08-23 14:52:00.914563,44,False
EVT-000219,LD-000219,TRP-000219,delivery,2024-08-23 13:00:00.266601,2024-08-23 13:18:00.266601,11,True
EVT-000220,LD-000220,TRP-000220,delivery,2024-08-23 11:00:00.140902,2024-08-23 11:32:00.140902,37,False
EVT-000221,LD-000221,TRP-000221,delivery,2024-08-24 10:00:00.683828,2024-08-24 10:15:00.683828,12,True
EVT-000222,LD-000222,TRP-000222,delivery,2024-08-24 13:00:00.951961,2024-08-24 13:18:00.951961,13,True
EVT-000223,LD-000223,TRP-000223,delivery,2024-08-24 14:00:00.330591,2024-08-24 14:21:00.330591,15,True
EVT-000224,LD-000224,TRP-000224,delivery,2024-08-24 14:00:00.450223,2024-08-24 14:20:00.450223,7,True
EVT-000225,LD-000225,TRP-000225,delivery,2024-08-24 10:00:00.859388,2024-08-24 10:08:00.859388,6,True
EVT-000226,LD-000226,TRP-000226,delivery,2024-08-25 09:00:00.801127,2024-08-25 09:16:00.801127,14,True
EVT-000227,LD-000227,TRP-000227,delivery,2024-08-25 13:00:00.237711,2024-08-25 13:20:00.237711,7,True
EVT-000228,LD-000228,TRP-000228,delivery,2024-08-25 05:00:00.468760,2024-08-25 05:55:00.468760,54,False
EVT-000229,LD-000229,TRP-000229,delivery,2024-08-25 11:00:00.086938,2024-08-25 11:25:00.086938,12,True
EVT-000230,LD-000230,TRP-000230,delivery,2024-08-25 08:00:00.967432,2024-08-25 08:12:00.967432,11,True
EVT-000231,LD-000231,TRP-000231,delivery,2024-08-26 11:00:00.231810,2024-08-26 11:09:00.231810,11,True
