trip_id,load_id,driver_id,truck_id,actual_miles,fuel_gallons,actual_mpg,departure_time,arrival_time,on_time_flag,customer_id,route_id,load_date,freight_type,weight_lbs,revenue,fuel_surcharge,load_status,origin_city,origin_state,destination_city,destination_state,distance_miles,base_rate_per_mile,customer_name,city,state,industry,payment_terms_days,account_status,fuel_cost,fuel_gallons_purchased,avg_price_per_gal,month,total_revenue,rev_per_mile,net_margin,net_margin_per_mile,direction
TRIP-000037,LOAD-00037,DRV-02,TRK-02,340,47.09,7.22,2024-07-26 08:05:00,2024-07-26 14:43:09.304267,Y,CUST-05,RTE-06,2024-07-26,Refrigerated - Backhaul Mixed,26426,574.13,46.6,delivered,Portland,OR,Bellingham,WA,300,1.75,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,185.82,47.09,3.946,2024-07,620.73,1.8256764705882353,434.91,1.2791470588235294,northbound_backhaul
TRIP-000038,LOAD-00038,DRV-01,TRK-01,811,161.55,5.02,2024-08-02 06:05:00,2024-08-02 21:06:43.227688,Y,CUST-04,RTE-04,2024-08-02,Refrigerated - Mixed,38439,2035.8,197.98,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,650.48,161.55,4.0265,2024-08,2233.7799999999997,2.7543526510480887,1583.2999999999997,1.9522811344019726,southbound
TRIP-000039,LOAD-00039,DRV-01,TRK-01,798,147.23,5.42,2024-08-02 05:15:00,2024-08-02 21:20:33.514967,Y,CUST-03,RTE-03,2024-08-02,Refrigerated - Produce,44062,2467.27,127.23,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,562.57,147.23,3.821,2024-08,2594.5,3.25125313283208,2031.9299999999998,2.5462781954887217,southbound
TRIP-000040,LOAD-00040,DRV-01,TRK-01,821,155.2,5.29,2024-08-03 06:40:00,2024-08-04 00:15:04.454194,Y,CUST-06,RTE-07,2024-08-03,Refrigerated - Backhaul Mixed,26262,1279.88,117.05,delivered,Oakland,CA,Burlington,WA,805,1.55,Evergreen Freight Match,Portland,OR,Brokerage,30,active,596.9,155.2,3.846,2024-08,1396.93,1.701498172959805,800.0300000000001,0.9744579780755178,northbound_backhaul
TRIP-000041,LOAD-00041,DRV-02,TRK-02,820,120.23,6.82,2024-08-05 06:40:00,2024-08-05 21:56:57.087363,Y,CUST-03,RTE-03,2024-08-05,Refrigerated - Produce,40364,2473.07,218.91,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,481.58000000000004,120.22999999999999,4.0055,2024-08,2691.98,3.28290243902439,2210.4,2.695609756097561,southbound
TRIP-000042,LOAD-00042,DRV-02,TRK-02,848,119.61,7.09,2024-08-07 07:10:00,2024-08-07 23:28:48.390847,Y,CUST-06,RTE-05,2024-08-07,Refrigerated - Backhaul Mixed,17870,1336.76,143.69,delivered,Oakland,CA,Mount Vernon,WA,815,1.65,Evergreen Freight Match,Portland,OR,Brokerage,30,active,492.79,119.61,4.12,2024-08,1480.45,1.745813679245283,987.6600000000001,1.1646933962264152,northbound_backhaul
TRIP-000043,LOAD-00043,DRV-02,TRK-02,283,40.9,6.92,2024-08-01 07:50:00,2024-08-01 13:42:08.082500,Y,CUST-01,RTE-01,2024-08-01,Refrigerated - Produce,43682,768.56,51.86,delivered,Mount Vernon,WA,Portland,OR,260,2.85,Skagit Valley Produce,Mount Vernon,WA,Produce,30,active,157.3,40.9,3.846,2024-08,820.42,2.899010600706714,663.1199999999999,2.343180212014134,southbound
TRIP-000044,LOAD-00044,DRV-02,TRK-02,340,48.78,6.97,2024-08-03 05:15:00,2024-08-03 12:23:33.023059,Y,CUST-05,RTE-06,2024-08-03,Refrigerated - Backhaul Mixed,27393,470.87,40.85,delivered,Portland,OR,Bellingham,WA,300,1.75,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,194.05,48.78,3.978,2024-08,511.72,1.5050588235294118,317.67,0.9343235294117648,northbound_backhaul
TRIP-000045,LOAD-00045,DRV-01,TRK-01,777,153.56,5.06,2024-08-11 04:45:00,2024-08-11 19:13:26.497701,Y,CUST-02,RTE-02,2024-08-11,Refrigerated - Seafood,41342,2273.31,118.6,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,615.16,153.56,4.006,2024-08,2391.91,3.0783912483912483,1776.75,2.2866795366795367,southbound
TRIP-000046,LOAD-00046,DRV-01,TRK-01,809,160.52,5.04,2024-08-12 08:30:00,2024-08-13 00:10:35.855557,Y,CUST-05,RTE-07,2024-08-12,Refrigerated - Backhaul Mixed,23327,1180.24,154.71,delivered,Oakland,CA,Burlington,WA,805,1.55,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,644.49,160.52,4.015,2024-08,1334.95,1.6501236093943141,690.46,0.8534734239802225,northbound_backhaul
TRIP-000047,LOAD-00047,DRV-01,TRK-01,824,160.94,5.12,2024-08-11 07:45:00,2024-08-11 23:07:26.264088,N,CUST-04,RTE-04,2024-08-11,Refrigerated - Mixed,41967,2185.76,175.76,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,635.23,160.94,3.947,2024-08,2361.5200000000004,2.8659223300970877,1726.2900000000004,2.095012135922331,southbound
TRIP-000048,LOAD-00048,DRV-02,TRK-02,793,109.08,7.27,2024-08-11 07:05:00,2024-08-11 22:35:06.090741,Y,CUST-02,RTE-02,2024-08-11,Refrigerated - Seafood,42114,2311.54,121.33,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,433.59,109.08,3.975,2024-08,2432.87,3.067931904161412,1999.28,2.5211601513240858,southbound
TRIP-000049,LOAD-00049,DRV-02,TRK-02,826,112.84,7.32,2024-08-08 07:50:00,2024-08-09 00:57:53.248238,Y,CUST-04,RTE-04,2024-08-08,Refrigerated - Mixed,43524,2144.93,224.99,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,465.81,112.84,4.128,2024-08,2369.92,2.8691525423728814,1904.1100000000001,2.3052179176755447,southbound
TRIP-000050,LOAD-00050,DRV-02,TRK-02,842,124.01,6.79,2024-08-10 08:10:00,2024-08-11 02:04:26.319109,Y,CUST-05,RTE-05,2024-08-10,Refrigerated - Backhaul Mixed,20873,1252.09,86.07,delivered,Oakland,CA,Mount Vernon,WA,815,1.65,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,505.96,124.01,4.08,2024-08,1338.1599999999999,1.5892636579572446,832.1999999999998,0.9883610451306412,northbound_backhaul
TRIP-000051,LOAD-00051,DRV-01,TRK-01,802,148.52,5.4,2024-08-14 07:20:00,2024-08-14 22:44:13.051115,Y,CUST-04,RTE-04,2024-08-14,Refrigerated - Mixed,43462,2142.67,177.34,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,605.44,148.52,4.0765,2024-08,2320.01,2.892780548628429,1714.5700000000002,2.1378678304239402,southbound
TRIP-000052,LOAD-00052,DRV-01,TRK-01,790,159.27,4.96,2024-08-13 07:20:00,2024-08-13 23:46:30.085090,N,CUST-02,RTE-02,2024-08-13,Refrigerated - Seafood,40423,2287.94,159.0,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,654.76,159.27,4.111,2024-08,2446.94,3.097392405063291,1792.18,2.268582278481013,southbound
TRIP-000053,LOAD-00053,DRV-01,TRK-01,340,68.69,4.95,2024-08-14 05:20:00,2024-08-14 12:02:06.944199,Y,CUST-05,RTE-06,2024-08-14,Refrigerated - Backhaul Mixed,26104,529.81,48.63,delivered,Portland,OR,Bellingham,WA,300,1.75,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,266.65,68.69,3.882,2024-08,578.4399999999999,1.7012941176470586,311.78999999999996,0.9170294117647058,northbound_backhaul
TRIP-000054,LOAD-00054,DRV-02,TRK-02,810,112.5,7.2,2024-08-15 06:05:00,2024-08-15 22:01:30.290682,Y,CUST-03,RTE-03,2024-08-15,Refrigerated - Produce,41947,2524.77,150.84,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,460.8,112.5,4.096,2024-08,2675.61,3.3032222222222223,2214.81,2.7343333333333333,southbound
TRIP-000055,LOAD-00055,DRV-02,TRK-02,831,117.87,7.05,2024-08-17 07:05:00,2024-08-17 23:41:13.398958,Y,CUST-06,RTE-05,2024-08-17,Refrigerated - Backhaul Mixed,22451,1147.72,125.23,delivered,Oakland,CA,Mount Vernon,WA,815,1.65,Evergreen Freight Match,Portland,OR,Brokerage,30,active,480.32,117.87,4.075,2024-08,1272.95,1.531829121540313,792.6300000000001,0.9538267148014442,northbound_backhaul
TRIP-000056,LOAD-00056,DRV-02,TRK-02,794,114.57,6.93,2024-08-16 07:05:00,2024-08-16 23:25:35.211031,N,CUST-03,RTE-03,2024-08-16,Refrigerated - Produce,38371,2484.97,134.0,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,449.92,114.57,3.927,2024-08,2618.97,3.2984508816120903,2169.0499999999997,2.7318010075566748,southbound
TRIP-000057,LOAD-00057,DRV-02,TRK-02,844,121.61,6.94,2024-08-18 07:00:00,2024-08-18 23:49:56.289528,Y,CUST-05,RTE-07,2024-08-18,Refrigerated - Backhaul Mixed,28659,1336.78,133.22,delivered,Oakland,CA,Burlington,WA,805,1.55,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,476.71,121.61,3.92,2024-08,1470.0,1.7417061611374407,993.29,1.176883886255924,northbound_backhaul
TRIP-000058,LOAD-00058,DRV-01,TRK-01,807,152.84,5.28,2024-08-20 04:00:00,2024-08-20 19:18:25.419276,Y,CUST-04,RTE-04,2024-08-20,Refrigerated - Mixed,41725,2074.05,239.14,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,611.21,152.84,3.999,2024-08,2313.19,2.8664064436183394,1701.98,2.109021065675341,southbound
TRIP-000059,LOAD-00059,DRV-01,TRK-01,832,156.1,5.33,2024-08-21 06:10:00,2024-08-21 23:03:46.997694,N,CUST-06,RTE-05,2024-08-21,Refrigerated - Backhaul Mixed,24764,1403.37,145.77,delivered,Oakland,CA,Mount Vernon,WA,815,1.65,Evergreen Freight Match,Portland,OR,Brokerage,30,active,615.35,156.1,3.942,2024-08,1549.1399999999999,1.8619471153846152,933.7899999999998,1.1223437499999998,northbound_backhaul
TRIP-000060,LOAD-00060,DRV-01,TRK-01,805,160.68,5.01,2024-08-20 04:45:00,2024-08-20 20:37:51.432955,Y,CUST-02,RTE-02,2024-08-20,Refrigerated - Seafood,41448,2263.91,131.83,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,630.03,160.68,3.921,2024-08,2395.74,2.9760745341614903,1765.7099999999998,2.193428571428571,southbound
