trip_id,load_id,driver_id,truck_id,actual_miles,fuel_gallons,actual_mpg,departure_time,arrival_time,on_time_flag
TRIP-000062,LOAD-000063,DRV-013,TRK-021,272.7,41.26,6.61,2025-05-03 05:42:00,2025-05-03 10:41:19,1
TRIP-000063,LOAD-000064,DRV-043,TRK-004,278.9,42.84,6.51,2026-05-25 08:25:00,2026-05-25 13:56:45,1
TRIP-000064,LOAD-000065,DRV-020,TRK-027,122.1,17.98,6.79,2026-04-04 07:41:00,2026-04-04 10:03:34,1
TRIP-000065,LOAD-000066,DRV-032,TRK-022,425.2,64.92,6.55,2025-11-24 07:52:00,2025-11-24 16:03:52,0
TRIP-000066,LOAD-000067,DRV-031,TRK-010,69.4,10.06,6.9,2026-03-30 08:25:00,2026-03-30 09:46:04,1
TRIP-000067,LOAD-000068,DRV-034,TRK-023,262.5,37.23,7.05,2025-07-24 05:25:00,2025-07-24 10:25:50,1
TRIP-000068,LOAD-000069,DRV-049,TRK-017,258.8,39.82,6.5,2026-01-24 07:58:00,2026-01-24 12:43:31,0
TRIP-000069,LOAD-000070,DRV-036,TRK-029,70.5,9.72,7.25,2024-08-10 04:33:00,2024-08-10 05:56:15,1
TRIP-000070,LOAD-000071,DRV-014,TRK-001,293.6,41.12,7.14,2025-02-14 05:43:00,2025-02-14 11:00:52,1
TRIP-000071,LOAD-000072,DRV-014,TRK-010,429.9,63.69,6.75,2025-03-06 09:13:00,2025-03-06 17:25:50,1
TRIP-000072,LOAD-000073,DRV-011,TRK-023,272.7,40.88,6.67,2024-10-02 07:30:00,2024-10-02 12:56:20,0
TRIP-000073,LOAD-000074,DRV-030,TRK-027,282.3,40.74,6.93,2025-04-04 07:01:00,2025-04-04 12:39:26,1
TRIP-000074,LOAD-000075,DRV-016,TRK-033,445.4,63.9,6.97,2025-12-07 05:38:00,2025-12-07 14:03:41,1
TRIP-000075,LOAD-000076,DRV-028,TRK-032,266.5,40.32,6.61,2025-06-11 07:38:00,2025-06-11 12:46:31,1
TRIP-000076,LOAD-000077,DRV-002,TRK-038,71.1,11.23,6.33,2025-01-11 05:18:00,2025-01-11 06:46:27,1
TRIP-000077,LOAD-000078,DRV-051,TRK-007,52.4,7.72,6.79,2024-10-05 05:05:00,2024-10-05 06:08:56,1
TRIP-000078,LOAD-000080,DRV-035,TRK-016,51.6,7.3,7.07,2026-06-24 07:55:00,2026-06-24 08:52:34,1
TRIP-000079,LOAD-000081,DRV-006,TRK-026,291.8,42.41,6.88,2025-05-26 06:02:00,2025-05-26 11:53:35,1
TRIP-000080,LOAD-000082,DRV-032,TRK-030,122.1,16.32,7.48,2025-12-05 06:22:00,2025-12-05 08:37:02,1
TRIP-000081,LOAD-000083,DRV-005,TRK-022,125.4,17.89,7.01,2024-07-25 06:24:00,2024-07-25 08:42:09,1
TRIP-000082,LOAD-000085,DRV-014,TRK-007,51.1,7.49,6.82,2026-05-10 08:28:00,2026-05-10 09:22:50,1
TRIP-000083,LOAD-000086,DRV-032,TRK-007,52.6,8.26,6.37,2026-04-18 08:29:00,2026-04-18 09:32:18,1
TRIP-000084,LOAD-000087,DRV-052,TRK-005,121.2,19.12,6.34,2024-07-06 09:52:00,2024-07-06 12:08:34,1
TRIP-000085,LOAD-000088,DRV-004,TRK-015,50.8,7.31,6.95,2024-09-05 04:01:00,2024-09-05 05:03:23,1
TRIP-000086,LOAD-000089,DRV-037,TRK-018,52.3,7.05,7.42,2025-04-18 08:17:00,2025-04-18 09:22:06,1
TRIP-000087,LOAD-000090,DRV-036,TRK-028,258.4,38.62,6.69,2026-04-11 06:50:00,2026-04-11 11:35:58,1
TRIP-000088,LOAD-000091,DRV-001,TRK-011,268.9,36.63,7.34,2026-05-12 09:41:00,2026-05-12 15:05:30,1
TRIP-000089,LOAD-000092,DRV-040,TRK-014,271.4,51.6,5.26,2026-04-01 08:08:00,2026-04-01 13:00:35,1
TRIP-000090,LOAD-000093,DRV-001,TRK-019,52.4,7.93,6.61,2024-11-13 07:48:00,2024-11-13 08:49:45,1
TRIP-000091,LOAD-000094,DRV-024,TRK-019,50.7,7.84,6.47,2025-04-24 09:57:00,2025-04-24 10:57:12,1
TRIP-000092,LOAD-000095,DRV-040,TRK-026,294.0,40.66,7.23,2025-06-05 06:54:00,2025-06-05 12:49:35,1
TRIP-000093,LOAD-000096,DRV-013,TRK-001,284.2,41.43,6.86,2024-10-17 05:30:00,2024-10-17 10:56:55,1
TRIP-000094,LOAD-000097,DRV-037,TRK-024,270.2,39.74,6.8,2026-06-01 04:32:00,2026-06-01 09:23:42,1
TRIP-000095,LOAD-000098,DRV-016,TRK-006,443.5,66.59,6.66,2026-06-17 04:32:00,2026-06-17 13:14:46,1
TRIP-000096,LOAD-000099,DRV-006,TRK-034,439.5,58.29,7.54,2024-07-17 08:51:00,2024-07-17 16:57:02,0
TRIP-000097,LOAD-000100,DRV-004,TRK-004,262.5,35.23,7.45,2024-07-29 06:14:00,2024-07-29 10:55:53,1
TRIP-000098,LOAD-000101,DRV-031,TRK-013,53.2,8.17,6.51,2025-11-17 08:56:00,2025-11-17 09:56:40,1
TRIP-000099,LOAD-000102,DRV-015,TRK-035,291.7,42.21,6.91,2025-02-02 09:47:00,2025-02-02 15:48:05,1
TRIP-000100,LOAD-000103,DRV-021,TRK-008,449.5,62.0,7.25,2024-08-29 08:44:00,2024-08-29 17:46:38,1
TRIP-000101,LOAD-000104,DRV-015,TRK-029,69.7,10.36,6.73,2024-12-16 05:45:00,2024-12-16 07:02:05,1
TRIP-000102,LOAD-000105,DRV-005,TRK-007,434.9,63.96,6.8,2026-03-05 07:36:00,2026-03-05 15:32:28,1
TRIP-000103,LOAD-000106,DRV-014,TRK-010,70.2,9.78,7.18,2024-07-13 08:05:00,2024-07-13 09:23:01,0
TRIP-000104,LOAD-000107,DRV-013,TRK-011,433.5,59.22,7.32,2024-11-16 06:57:00,2024-11-16 15:48:39,1
TRIP-000105,LOAD-000108,DRV-025,TRK-032,50.3,6.87,7.32,2026-02-18 08:42:00,2026-02-18 09:35:56,1
TRIP-000106,LOAD-000109,DRV-016,TRK-012,445.9,61.0,7.31,2025-11-16 04:00:00,2025-11-16 12:40:32,1
TRIP-000107,LOAD-000110,DRV-035,TRK-004,428.4,63.94,6.7,2025-07-07 04:42:00,2025-07-07 12:50:44,1
TRIP-000108,LOAD-000111,DRV-016,TRK-004,274.0,37.28,7.35,2024-12-13 05:24:00,2024-12-13 10:56:07,1
TRIP-000109,LOAD-000112,DRV-031,TRK-007,268.5,42.15,6.37,2024-09-11 05:51:00,2024-09-11 11:20:54,1
TRIP-000110,LOAD-000113,DRV-007,TRK-009,68.4,10.75,6.36,2025-07-29 04:37:00,2025-07-29 05:52:58,1
TRIP-000111,LOAD-000114,DRV-015,TRK-032,426.0,62.01,6.87,2025-08-04 09:28:00,2025-08-04 18:14:19,1
TRIP-000112,LOAD-000115,DRV-025,TRK-009,67.7,10.48,6.46,2024-11-18 07:35:00,2024-11-18 08:55:10,1
TRIP-000113,LOAD-000116,DRV-012,TRK-016,270.1,42.74,6.32,2025-02-04 05:48:00,2025-02-04 11:10:44,1
TRIP-000114,LOAD-000117,DRV-031,TRK-032,435.6,63.96,6.81,2024-09-14 06:56:00,2024-09-14 14:53:57,1
TRIP-000115,LOAD-000119,DRV-035,TRK-017,266.7,35.66,7.48,2024-09-04 06:24:00,2024-09-04 11:18:54,1
TRIP-000116,LOAD-000120,DRV-004,TRK-026,296.6,39.71,7.47,2025-11-10 09:39:00,2025-11-10 15:19:09,1
TRIP-000117,LOAD-000121,DRV-029,TRK-017,67.9,9.56,7.1,2026-01-05 09:52:00,2026-01-05 11:10:53,1
TRIP-000118,LOAD-000122,DRV-017,TRK-020,260.1,40.51,6.42,2025-01-08 09:08:00,2025-01-08 14:13:56,1
TRIP-000119,LOAD-000123,DRV-013,TRK-026,265.6,38.94,6.82,2026-03-24 07:54:00,2026-03-24 13:20:27,1
TRIP-000120,LOAD-000124,DRV-014,TRK-032,267.5,35.38,7.56,2024-11-04 08:36:00,2024-11-04 13:55:25,1
TRIP-000121,LOAD-000125,DRV-043,TRK-023,51.4,7.97,6.45,2025-12-07 08:20:00,2025-12-07 09:15:39,1
TRIP-000122,LOAD-000126,DRV-005,TRK-016,70.0,9.93,7.05,2025-03-25 05:57:00,2025-03-25 07:23:46,1
TRIP-000123,LOAD-000127,DRV-030,TRK-016,424.5,58.31,7.28,2025-08-30 08:12:00,2025-08-30 15:54:53,1
TRIP-000124,LOAD-000128,DRV-025,TRK-014,121.6,23.43,5.19,2025-04-08 05:27:00,2025-04-08 07:41:42,0
TRIP-000125,LOAD-000129,DRV-012,TRK-021,263.0,39.25,6.7,2025-02-18 08:29:00,2025-02-18 13:14:37,1
TRIP-000126,LOAD-000130,DRV-022,TRK-037,68.0,9.35,7.27,2026-01-20 08:29:00,2026-01-20 09:47:28,1
TRIP-000127,LOAD-000131,DRV-004,TRK-012,294.4,39.25,7.5,2026-06-11 08:11:00,2026-06-11 14:08:08,1
TRIP-000128,LOAD-000133,DRV-017,TRK-001,53.4,7.91,6.75,2024-12-15 09:50:00,2024-12-15 10:54:23,1
TRIP-000129,LOAD-000134,DRV-035,TRK-034,124.7,19.07,6.54,2026-01-14 05:25:00,2026-01-14 07:38:41,1
TRIP-000130,LOAD-000135,DRV-026,TRK-027,260.8,37.8,6.9,2025-06-19 06:08:00,2025-06-19 11:01:35,1
TRIP-000131,LOAD-000136,DRV-032,TRK-011,443.2,61.81,7.17,2025-08-27 07:04:00,2025-08-27 16:17:39,1
TRIP-000132,LOAD-000137,DRV-025,TRK-011,50.2,7.0,7.17,2025-02-27 07:41:00,2025-02-27 08:35:26,1
TRIP-000133,LOAD-000138,DRV-031,TRK-016,51.7,7.15,7.23,2026-01-21 04:50:00,2026-01-21 05:47:01,1
TRIP-000134,LOAD-000139,DRV-049,TRK-019,266.1,37.58,7.08,2024-09-15 07:59:00,2024-09-15 13:19:08,1
TRIP-000135,LOAD-000140,DRV-032,TRK-028,53.1,7.0,7.59,2026-04-17 08:35:00,2026-04-17 09:37:43,1
TRIP-000136,LOAD-000141,DRV-035,TRK-010,120.8,17.38,6.95,2025-03-28 05:16:00,2025-03-28 07:30:40,1
TRIP-000137,LOAD-000142,DRV-015,TRK-035,267.3,40.01,6.68,2025-09-02 07:08:00,2025-09-02 12:06:23,1
TRIP-000138,LOAD-000143,DRV-032,TRK-014,126.4,24.45,5.17,2026-03-09 06:43:00,2026-03-09 09:05:19,1
TRIP-000139,LOAD-000144,DRV-013,TRK-022,265.5,38.59,6.88,2024-08-19 09:56:00,2024-08-19 15:02:02,1
TRIP-000140,LOAD-000145,DRV-016,TRK-020,425.4,63.21,6.73,2024-07-05 06:00:00,2024-07-05 14:24:58,1
TRIP-000141,LOAD-000146,DRV-014,TRK-009,67.6,9.48,7.13,2025-01-19 04:43:00,2025-01-19 05:59:57,1
TRIP-000142,LOAD-000147,DRV-013,TRK-011,126.5,18.63,6.79,2025-07-11 05:16:00,2025-07-11 07:51:34,1
TRIP-000143,LOAD-000148,DRV-027,TRK-006,70.1,9.27,7.56,2025-06-04 09:27:00,2025-06-04 10:45:32,1
TRIP-000144,LOAD-000149,DRV-035,TRK-022,70.3,10.41,6.75,2025-12-25 06:39:00,2025-12-25 07:58:04,1
TRIP-000145,LOAD-000150,DRV-037,TRK-038,431.6,66.2,6.52,2026-01-12 04:45:00,2026-01-12 12:43:12,1
TRIP-000146,LOAD-000151,DRV-039,TRK-038,52.1,7.23,7.21,2024-09-18 04:22:00,2024-09-18 05:22:34,1
TRIP-000147,LOAD-000152,DRV-052,TRK-030,271.4,42.81,6.34,2025-11-26 07:22:00,2025-11-26 12:52:01,1
TRIP-000148,LOAD-000153,DRV-025,TRK-024,121.7,16.69,7.29,2025-06-29 05:53:00,2025-06-29 08:06:36,1
TRIP-000149,LOAD-000154,DRV-029,TRK-005,272.9,39.61,6.89,2025-01-11 07:08:00,2025-01-11 12:09:02,1
TRIP-000150,LOAD-000155,DRV-039,TRK-021,126.3,17.66,7.15,2026-03-08 04:41:00,2026-03-08 07:05:12,0
TRIP-000151,LOAD-000156,DRV-028,TRK-024,256.4,37.99,6.75,2025-12-21 08:32:00,2025-12-21 13:32:11,1
TRIP-000152,LOAD-000157,DRV-007,TRK-006,69.6,10.86,6.41,2025-01-11 09:24:00,2025-01-11 10:45:18,1
TRIP-000153,LOAD-000158,DRV-022,TRK-003,51.3,6.98,7.35,2025-11-24 05:04:00,2025-11-24 05:59:04,1
TRIP-000154,LOAD-000159,DRV-036,TRK-019,52.7,7.42,7.1,2025-06-30 08:56:00,2025-06-30 09:56:57,1
TRIP-000155,LOAD-000160,DRV-030,TRK-019,68.8,9.31,7.39,2025-03-22 07:19:00,2025-03-22 08:42:03,1
TRIP-000156,LOAD-000161,DRV-036,TRK-013,50.7,7.12,7.12,2025-05-23 06:12:00,2025-05-23 07:07:35,1
TRIP-000157,LOAD-000162,DRV-011,TRK-036,129.1,17.45,7.4,2024-12-21 07:50:00,2024-12-21 10:10:02,1
TRIP-000158,LOAD-000163,DRV-017,TRK-017,449.0,60.19,7.46,2026-04-03 05:49:00,2026-04-03 13:50:29,1
TRIP-000159,LOAD-000164,DRV-005,TRK-018,256.9,39.34,6.53,2026-04-26 07:21:00,2026-04-26 12:25:27,1
TRIP-000160,LOAD-000165,DRV-017,TRK-017,71.2,10.01,7.11,2024-11-05 04:21:00,2024-11-05 05:42:25,1
TRIP-000161,LOAD-000166,DRV-022,TRK-020,263.8,37.37,7.06,2024-07-18 06:25:00,2024-07-18 11:23:56,1
TRIP-000162,LOAD-000167,DRV-020,TRK-004,128.6,19.43,6.62,2026-02-02 04:15:00,2026-02-02 06:49:35,1
TRIP-000163,LOAD-000168,DRV-020,TRK-038,269.7,35.91,7.51,2025-02-13 06:41:00,2025-02-13 11:32:25,0
TRIP-000164,LOAD-000169,DRV-032,TRK-025,279.3,39.23,7.12,2025-12-23 09:45:00,2025-12-23 15:06:48,1
TRIP-000165,LOAD-000170,DRV-025,TRK-017,264.8,36.83,7.19,2026-02-26 04:10:00,2026-02-26 09:03:17,1
TRIP-000166,LOAD-000171,DRV-013,TRK-025,430.7,60.49,7.12,2024-10-17 06:51:00,2024-10-17 15:13:54,1
TRIP-000167,LOAD-000172,DRV-011,TRK-014,447.8,95.07,4.71,2025-12-19 09:23:00,2025-12-19 17:44:09,0
TRIP-000168,LOAD-000173,DRV-015,TRK-020,273.2,39.37,6.94,2024-07-06 07:15:00,2024-07-06 12:42:50,1
TRIP-000169,LOAD-000174,DRV-039,TRK-001,70.6,10.0,7.06,2026-04-26 04:43:00,2026-04-26 05:59:06,1
TRIP-000170,LOAD-000175,DRV-005,TRK-010,69.0,10.04,6.87,2025-05-11 09:52:00,2025-05-11 11:16:59,1
TRIP-000171,LOAD-000176,DRV-031,TRK-020,442.1,62.18,7.11,2024-12-16 09:54:00,2024-12-16 18:56:10,1
TRIP-000172,LOAD-000177,DRV-017,TRK-008,265.7,36.55,7.27,2025-05-24 09:22:00,2025-05-24 14:42:24,1
TRIP-000173,LOAD-000178,DRV-021,TRK-008,271.6,39.02,6.96,2025-10-05 07:23:00,2025-10-05 12:43:45,1
TRIP-000174,LOAD-000179,DRV-024,TRK-034,270.6,42.15,6.42,2026-02-23 06:14:00,2026-02-23 11:23:25,1
TRIP-000175,LOAD-000180,DRV-013,TRK-007,448.5,59.64,7.52,2024-12-24 05:54:00,2024-12-24 15:13:30,1
TRIP-000176,LOAD-000181,DRV-030,TRK-025,273.0,42.86,6.37,2024-07-10 04:19:00,2024-07-10 09:52:58,1
TRIP-000177,LOAD-000182,DRV-051,TRK-023,272.9,41.98,6.5,2025-06-21 06:42:00,2025-06-21 11:50:19,1
TRIP-000178,LOAD-000183,DRV-049,TRK-021,127.3,20.02,6.36,2026-03-04 08:32:00,2026-03-04 10:51:17,1
TRIP-000179,LOAD-000184,DRV-032,TRK-020,292.0,39.04,7.48,2026-02-23 07:21:00,2026-02-23 12:37:47,1
TRIP-000180,LOAD-000185,DRV-033,TRK-017,258.1,36.56,7.06,2026-01-24 09:09:00,2026-01-24 14:04:43,0
TRIP-000181,LOAD-000186,DRV-034,TRK-024,68.5,9.54,7.18,2026-04-15 09:30:00,2026-04-15 10:48:22,1
TRIP-000182,LOAD-000187,DRV-034,TRK-036,260.4,34.67,7.51,2024-11-09 07:30:00,2024-11-09 12:51:21,1
TRIP-000183,LOAD-000188,DRV-002,TRK-018,125.4,19.0,6.6,2024-12-13 06:52:00,2024-12-13 09:18:38,1
TRIP-000184,LOAD-000189,DRV-037,TRK-031,52.2,7.86,6.64,2024-08-01 04:24:00,2024-08-01 05:28:55,1
TRIP-000185,LOAD-000190,DRV-032,TRK-009,285.1,45.11,6.32,2025-08-02 08:27:00,2025-08-02 13:59:54,1
TRIP-000186,LOAD-000191,DRV-037,TRK-004,439.2,64.3,6.83,2025-04-08 07:22:00,2025-04-08 16:30:58,1
TRIP-000187,LOAD-000192,DRV-027,TRK-023,262.8,34.72,7.57,2025-12-09 06:14:00,2025-12-09 10:56:02,1
TRIP-000188,LOAD-000193,DRV-008,TRK-027,124.7,18.26,6.83,2025-01-07 08:59:00,2025-01-07 11:23:15,1
TRIP-000189,LOAD-000194,DRV-049,TRK-023,263.3,37.78,6.97,2025-10-09 06:18:00,2025-10-09 11:29:40,1
TRIP-000190,LOAD-000195,DRV-036,TRK-037,284.7,39.93,7.13,2026-02-23 06:55:00,2026-02-23 12:34:56,0
TRIP-000191,LOAD-000196,DRV-021,TRK-029,286.2,44.37,6.45,2025-05-16 09:01:00,2025-05-16 14:12:13,1
TRIP-000192,LOAD-000197,DRV-030,TRK-013,430.1,68.27,6.3,2024-10-22 05:45:00,2024-10-22 13:53:36,1
TRIP-000193,LOAD-000198,DRV-052,TRK-008,289.1,39.33,7.35,2025-01-14 09:21:00,2025-01-14 15:05:15,1
TRIP-000194,LOAD-000199,DRV-028,TRK-020,70.1,9.58,7.32,2026-06-01 05:15:00,2026-06-01 06:37:28,1
TRIP-000195,LOAD-000200,DRV-007,TRK-013,128.2,17.28,7.42,2025-12-29 05:32:00,2025-12-29 08:07:46,1
TRIP-000196,LOAD-000201,DRV-033,TRK-027,263.0,35.21,7.47,2025-10-17 04:17:00,2025-10-17 09:25:34,1
TRIP-000197,LOAD-000202,DRV-004,TRK-034,122.3,16.33,7.49,2025-11-06 04:46:00,2025-11-06 07:09:43,1
TRIP-000198,LOAD-000203,DRV-031,TRK-011,123.3,19.42,6.35,2025-05-04 05:30:00,2025-05-04 07:47:44,1
TRIP-000199,LOAD-000204,DRV-052,TRK-014,71.0,14.4,4.93,2025-12-27 09:03:00,2025-12-27 10:27:33,1
TRIP-000200,LOAD-000205,DRV-043,TRK-025,264.4,38.32,6.9,2026-05-13 06:47:00,2026-05-13 12:14:36,1
TRIP-000201,LOAD-000206,DRV-037,TRK-027,50.2,6.94,7.23,2025-10-24 09:45:00,2025-10-24 10:39:03,1
TRIP-000202,LOAD-000207,DRV-017,TRK-005,265.4,41.02,6.47,2024-07-28 06:20:00,2024-07-28 11:43:50,1
TRIP-000203,LOAD-000208,DRV-052,TRK-022,122.1,18.67,6.54,2024-10-02 08:20:00,2024-10-02 10:33:33,1
TRIP-000204,LOAD-000209,DRV-035,TRK-017,51.3,7.73,6.64,2025-04-09 04:21:00,2025-04-09 05:20:39,1
