record_id,truck_id,service_date,service_type,cost,downtime_hours,odometer_at_service
MNT-000233,TRK-035,2025-05-29,tire replacement,2003.16,18.7,176536
MNT-000234,TRK-035,2026-02-08,electrical,2253.87,5.5,114914
MNT-000235,TRK-035,2026-06-25,tire replacement,1416.13,22.5,89988
MNT-000236,TRK-035,2024-10-29,routine PM service,823.23,10.7,267380
MNT-000237,TRK-035,2025-03-24,routine PM service,2968.66,7.0,274900
MNT-000238,TRK-035,2025-03-02,tire replacement,1950.94,6.9,295653
MNT-000239,TRK-035,2024-07-06,tire replacement,537.11,23.2,349276
MNT-000240,TRK-035,2026-06-26,brake system,2024.49,4.8,104911
MNT-000241,TRK-036,2026-05-25,engine repair,2047.93,6.9,352333
MNT-000242,TRK-036,2025-05-12,routine PM service,1239.25,3.1,315031
MNT-000243,TRK-036,2026-01-15,routine PM service,526.89,22.2,188074
MNT-000244,TRK-036,2026-03-04,brake system,2982.26,16.9,131438
MNT-000245,TRK-036,2024-10-02,cooling system,2305.19,17.8,436964
MNT-000246,TRK-037,2025-05-25,brake system,291.49,18.0,62948
MNT-000247,TRK-037,2025-04-14,routine PM service,2044.81,5.1,234017
MNT-000248,TRK-037,2025-04-09,routine PM service,1324.46,19.5,46022
MNT-000249,TRK-037,2025-08-26,cooling system,1634.29,18.8,244925
MNT-000250,TRK-037,2025-07-13,routine PM service,527.34,12.0,233051
MNT-000251,TRK-037,2024-11-15,routine PM service,2645.23,6.1,261001
MNT-000252,TRK-037,2024-08-14,routine PM service,1918.97,18.1,249782
MNT-000253,TRK-037,2025-08-06,tire replacement,796.38,6.4,200260
MNT-000254,TRK-038,2024-10-09,cooling system,1685.95,11.3,380219
MNT-000255,TRK-038,2024-07-07,electrical,2274.51,8.7,476070
MNT-000256,TRK-038,2024-10-11,routine PM service,1024.85,6.9,394483
MNT-000257,TRK-038,2025-04-26,tire replacement,1056.64,13.6,195071
MNT-000258,TRK-038,2026-04-04,brake system,3185.61,12.6,263346
MNT-000259,TRK-038,2025-11-08,brake system,551.65,2.0,218266
MNT-000260,TRK-038,2026-03-10,routine PM service,1602.7,10.5,92628
MNT-000261,TRK-038,2024-10-22,engine repair,1626.87,2.8,393966
MNT-000262,TRK-038,2025-03-06,brake system,1512.79,7.7,422602
MNT-000263,TRK-039,2025-04-09,routine PM service,2174.01,23.9,239764
MNT-000264,TRK-039,2025-12-21,tire replacement,2406.35,20.6,213004
MNT-000265,TRK-039,2024-08-29,routine PM service,2944.98,17.1,118617
MNT-000266,TRK-039,2025-10-08,routine PM service,429.07,17.5,212658
MNT-000267,TRK-039,2026-06-27,tire replacement,1923.45,20.6,127570
MNT-000268,TRK-039,2026-05-25,tire replacement,616.7,6.7,17763
MNT-000269,TRK-040,2025-12-21,tire replacement,1531.4,23.0,280694
MNT-000270,TRK-040,2025-01-28,engine repair,1473.72,2.8,232766
MNT-000271,TRK-040,2024-08-24,electrical,2494.79,7.6,177503
MNT-000272,TRK-040,2025-02-20,brake system,2159.87,18.3,58172
MNT-000273,TRK-040,2025-07-14,tire replacement,766.49,15.3,243561
MNT-000274,TRK-040,2025-09-02,routine PM service,2793.01,11.4,263092
MNT-000275,TRK-040,2026-04-24,routine PM service,1300.6,5.1,188562
MNT-000276,TRK-040,2025-04-15,routine PM service,1571.46,14.8,223305
MNT-000277,TRK-040,2025-09-26,tire replacement,2628.6,21.8,176031
MNT-000278,TRK-040,2026-06-04,electrical,1328.23,6.6,202556
MNT-000279,TRK-041,2026-01-13,tire replacement,6200.57,60.9,549089
MNT-000280,TRK-041,2024-12-19,transmission repair,4759.37,69.7,602862
MNT-000281,TRK-041,2026-03-14,tire replacement,4445.72,20.4,504256
MNT-000282,TRK-041,2026-04-23,engine repair,9325.87,59.5,646953
MNT-000283,TRK-041,2024-12-27,brake system,5501.78,48.2,705190
MNT-000284,TRK-041,2026-06-16,engine repair,3645.97,57.2,854267
MNT-000285,TRK-041,2024-12-24,electrical,7916.93,35.3,771696
MNT-000286,TRK-041,2024-12-16,routine PM service,3687.86,58.3,808967
MNT-000287,TRK-041,2024-08-26,suspension,4857.75,90.0,785573
MNT-000288,TRK-041,2026-05-08,transmission repair,5109.83,39.1,811622
MNT-000289,TRK-041,2025-01-05,electrical,6345.12,32.4,794851
MNT-000290,TRK-041,2026-03-10,tire replacement,3059.62,50.2,528010
MNT-000291,TRK-041,2025-03-22,cooling system,1816.63,52.4,769136
MNT-000292,TRK-041,2026-06-20,routine PM service,2940.73,55.2,579690
MNT-000293,TRK-041,2026-03-31,tire replacement,4232.18,88.4,643019
MNT-000294,TRK-041,2024-08-27,engine repair,9476.84,72.7,691463
MNT-000295,TRK-041,2025-12-23,electrical,4539.03,68.6,824230
MNT-000296,TRK-042,2026-03-31,routine PM service,5974.61,61.7,391941
MNT-000297,TRK-042,2025-09-25,cooling system,6218.91,86.2,503195
MNT-000298,TRK-042,2026-04-15,cooling system,6118.12,56.4,364548
MNT-000299,TRK-042,2024-12-04,brake system,4245.45,54.8,401608
MNT-000300,TRK-042,2024-08-05,routine PM service,5043.85,55.8,435913
MNT-000301,TRK-042,2026-02-08,transmission repair,5618.41,49.9,722030
MNT-000302,TRK-042,2026-04-11,suspension,7101.78,31.2,566619
MNT-000303,TRK-042,2024-10-13,routine PM service,5144.45,68.6,448667
MNT-000304,TRK-042,2026-04-27,engine repair,6427.88,56.8,413259
MNT-000305,TRK-042,2025-04-26,engine repair,9090.77,90.2,455650
MNT-000306,TRK-042,2024-09-05,cooling system,4996.19,75.6,695882
MNT-000307,TRK-042,2026-02-15,transmission repair,5029.8,60.0,568744
MNT-000308,TRK-042,2025-06-14,cooling system,8451.84,34.1,613089
MNT-000309,TRK-042,2025-06-22,engine repair,6375.57,18.4,686544
MNT-000310,TRK-042,2025-02-01,engine repair,8568.07,25.1,430399
MNT-000311,TRK-042,2025-11-12,tire replacement,7544.88,53.2,593384
MNT-000312,TRK-042,2025-11-23,engine repair,4869.0,89.0,568972
MNT-000313,TRK-043,2026-01-21,brake system,2137.47,81.4,528878
MNT-000314,TRK-043,2024-11-15,routine PM service,9354.77,24.9,741404
MNT-000315,TRK-043,2025-12-20,suspension,5159.55,27.2,706765
MNT-000316,TRK-043,2025-10-30,engine repair,6207.51,53.6,643137
MNT-000317,TRK-043,2026-06-13,routine PM service,8791.29,40.1,814474
MNT-000318,TRK-043,2025-03-27,brake system,7485.89,29.2,651248
MNT-000319,TRK-043,2026-06-23,suspension,2668.52,84.3,602391
MNT-000320,TRK-043,2025-09-30,electrical,4377.03,56.5,836040
MNT-000321,TRK-043,2024-08-14,tire replacement,9320.41,36.9,644821
MNT-000322,TRK-043,2026-05-20,electrical,4334.21,78.6,638676
MNT-000323,TRK-043,2024-12-13,tire replacement,6241.85,42.5,463385
MNT-000324,TRK-043,2025-07-13,engine repair,2525.99,66.4,529313
MNT-000325,TRK-043,2025-04-05,routine PM service,3269.83,30.8,480562
MNT-000326,TRK-043,2025-11-05,brake system,5588.09,92.4,723378
MNT-000327,TRK-043,2024-07-13,routine PM service,1861.36,35.8,780780
MNT-000328,TRK-043,2026-06-07,brake system,7460.96,62.2,648628
MNT-000329,TRK-043,2025-11-29,tire replacement,4187.59,53.8,852300
MNT-000330,TRK-043,2025-05-25,cooling system,7802.95,53.6,610468
MNT-000331,TRK-044,2026-04-25,engine repair,8786.34,44.1,638360
MNT-000332,TRK-044,2024-09-23,routine PM service,2176.01,78.0,426119
MNT-000333,TRK-044,2025-10-22,transmission repair,6340.09,57.2,360098
MNT-000334,TRK-044,2025-04-23,transmission repair,8045.33,60.6,662014
MNT-000335,TRK-044,2024-09-23,engine repair,4129.3,52.8,398605
MNT-000336,TRK-044,2024-09-21,electrical,6381.41,94.6,613870
MNT-000337,TRK-044,2026-02-23,electrical,4506.33,67.6,642585
MNT-000338,TRK-044,2026-04-15,suspension,4844.71,89.2,601813
MNT-000339,TRK-044,2024-08-26,transmission repair,2292.31,51.9,685055
MNT-000340,TRK-044,2026-04-13,brake system,2081.89,42.8,434272
MNT-000341,TRK-044,2026-02-22,engine repair,4052.65,74.7,463864
MNT-000342,TRK-044,2025-07-15,engine repair,4225.67,93.6,363618
MNT-000343,TRK-044,2024-09-19,routine PM service,6474.78,46.5,374782
MNT-000344,TRK-044,2025-05-08,routine PM service,6954.52,84.7,619232
MNT-000345,TRK-045,2024-07-23,engine repair,4938.82,91.2,747124
MNT-000346,TRK-045,2025-03-18,brake system,4032.34,26.3,518729
MNT-000347,TRK-045,2025-02-04,engine repair,8166.52,37.4,543808
MNT-000348,TRK-045,2024-08-28,tire replacement,3179.26,78.1,774599
MNT-000349,TRK-045,2026-03-29,suspension,8349.03,94.3,718636
MNT-000350,TRK-045,2026-03-06,transmission repair,2811.58,54.2,727373
MNT-000351,TRK-045,2025-06-25,transmission repair,5128.14,90.3,818045
MNT-000352,TRK-045,2025-10-25,cooling system,8173.77,29.6,821658
MNT-000353,TRK-045,2026-04-20,engine repair,9308.64,89.6,789826
MNT-000354,TRK-045,2025-02-17,cooling system,2902.3,71.4,896863
MNT-000355,TRK-045,2024-08-10,electrical,3562.47,64.5,732926
MNT-000356,TRK-045,2024-12-25,tire replacement,6375.92,86.7,765343
MNT-000357,TRK-045,2026-02-03,brake system,9075.05,27.8,802978
MNT-000358,TRK-045,2024-11-23,engine repair,8214.48,66.4,713674
MNT-000359,TRK-045,2024-07-21,suspension,2468.11,71.0,783758
MNT-000360,TRK-045,2025-08-30,brake system,5615.61,78.4,535772
MNT-000361,TRK-045,2025-09-10,routine PM service,8907.07,42.8,529531
MNT-000362,TRK-045,2026-05-03,transmission repair,2903.42,71.7,747795
MNT-000363,TRK-045,2024-08-31,transmission repair,9255.63,54.3,899201
MNT-000364,TRK-045,2024-10-15,tire replacement,1817.76,89.4,756671
MNT-000365,TRK-045,2025-12-07,routine PM service,4374.97,58.4,714991
MNT-000366,TRK-046,2025-02-09,tire replacement,6005.47,83.7,844823
MNT-000367,TRK-046,2026-06-26,cooling system,3277.7,71.1,574494
MNT-000368,TRK-046,2025-06-24,transmission repair,7447.01,47.2,883506
MNT-000369,TRK-046,2025-08-31,routine PM service,8178.44,66.8,610831
MNT-000370,TRK-046,2025-12-11,tire replacement,8281.55,26.2,595119
MNT-000371,TRK-046,2025-03-27,electrical,9114.84,55.4,727444
MNT-000372,TRK-046,2024-08-10,engine repair,8138.11,90.0,582708
MNT-000373,TRK-046,2025-10-09,engine repair,5589.05,73.1,697552
MNT-000374,TRK-046,2026-03-07,routine PM service,6283.85,18.2,698748
MNT-000375,TRK-046,2024-08-20,routine PM service,6379.86,22.9,845085
